priority_rank,content_id,client_id,priority_score,recommended_action,reason_codes,search_volume,impressions_90d,clicks_90d,trend_pct,days_since_last_update,word_count,content_age_days
7117,content_3527865bc7ce,client_6208ef0f77,0.8578247333072152,Refresh and review,"STALE, DECLINING, MULTIPLE_SIGNALS",0.0,465,0,-46.0,104,7542.0,223
7118,content_4bed8567926a,client_f369cb89fc,0.8578100015160183,Monitor,DECLINING,0.0,79,0,-58.6,20,2902.0,126
7119,content_d1a340f82c02,client_4ec9599fc2,0.8578084832135064,Monitor,DECLINING,,65,0,-33.3,20,1233.0,350
7120,content_ec19048bb072,client_19581e27de,0.8577679038968103,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",110.0,130,0,-68.2,104,,236
7121,content_ade4f6189920,client_8527a891e2,0.8577298522224892,Freshness review,STALE,10.0,49,0,150.0,104,1439.0,275
7122,content_0f3d85f67d55,client_f369cb89fc,0.8577298440392873,Monitor,DECLINING,0.0,61,0,-57.1,20,2659.0,117
7123,content_73cefde1b3af,client_624b60c58c,0.8577155034093753,Freshness review,STALE,,567,0,,104,3870.0,126
7124,content_5c760dfcec68,client_4e07408562,0.857703573730334,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",170.0,70,0,-78.8,20,,487
7125,content_3fe045867a7a,client_d4735e3a26,0.8576473709793389,Monitor,REVIEW,,2,1,,20,907.0,295
7126,content_00ad7e2e78ec,client_2c624232cd,0.8576397663271088,Monitor,REVIEW,10.0,56,0,21.4,22,,438
7127,content_9aec25da37c5,client_d4735e3a26,0.8575756585503583,Monitor,DECLINING,0.0,45,1,-68.4,20,,495
7128,content_8a4bb4df122a,client_d029fa3a95,0.8575543964390963,Monitor,DECLINING,0.0,42,0,-33.3,20,2338.0,144
7129,content_a1e415b7aacb,client_a88a7902cb,0.8575145758992332,Monitor,DECLINING,0.0,83,0,-87.1,28,2943.0,125
7130,content_b0b3587234a9,client_f74efabef1,0.8574087058307004,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,134,0,-100.0,8,2355.0,117
7131,content_da3692a9c0f8,client_19581e27de,0.8573764372347218,Monitor,REVIEW,10.0,174,0,82.4,22,,482
7132,content_3efd1f7a5dde,client_f369cb89fc,0.8573587150021115,Monitor,HIGH_DEMAND,1600.0,63,0,50.0,20,2691.0,151
7133,content_1cb5f2554714,client_f369cb89fc,0.8573280703500485,Monitor,REVIEW,0.0,38,1,,20,2992.0,126
7134,content_df52e4dd0bdc,client_8722616204,0.857322827139319,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,48,0,-100.0,8,2796.0,98
7135,content_2b12869733c9,client_f369cb89fc,0.8572702358217524,Monitor,DECLINING,0.0,67,0,-36.0,20,2376.0,187
7136,content_d483dfed61fc,client_d4735e3a26,0.8572543628177336,Monitor,REVIEW,,3,1,,20,945.0,287
7137,content_763d128ecc54,client_d029fa3a95,0.8571777622515439,Freshness review,STALE,0.0,16,1,0.0,183,4136.0,232
7138,content_b1e4f7904d85,client_d4735e3a26,0.8571760108281965,Monitor,REVIEW,,1,1,,20,791.0,299
7139,content_954b881ec7a5,client_f369cb89fc,0.8571083925187077,Monitor,REVIEW,0.0,57,0,5.9,20,2780.0,180
7140,content_b8ce248b3e6b,client_e629fa6598,0.8570843338975691,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,336,0,-77.8,20,,460
7141,content_974e911e7833,client_8722616204,0.8570759968501117,Monitor,DECLINING,0.0,104,0,-100.0,20,3192.0,228
7142,content_55b7c884afc4,client_19581e27de,0.857011387250707,Monitor,HIGH_DEMAND,90.0,82,0,14.8,22,,482
7143,content_2af097f4fae4,client_f369cb89fc,0.8570098858568469,Monitor,DECLINING,10.0,29,1,-78.6,20,2523.0,180
7144,content_d4631b0e5a99,client_7f2253d7e2,0.8569987141907405,Monitor,REVIEW,0.0,612,0,0.0,20,5092.0,168
7145,content_3aec04992cd8,client_f369cb89fc,0.8569848575836446,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",210.0,88,0,-100.0,8,2715.0,147
7146,content_abe37bcc8db9,client_434c9b5ae5,0.8569347877727387,Monitor,DECLINING,10.0,99,0,-74.7,89,2757.0,105
